Month,Weekly_Sales
2.0,24924.5
2.0,11737.12
2.0,13223.76
2.0,46729.77
2.0,21249.31
2.0,32229.38
,12251.94
,115564.35
,64494.87
,24146.49
,10217.55
2.0,106690.06
2.0,50605.27
2.0,39954.04
2.0,15694.17
2.0,40129.01
2.0,20837.77
2.0,76419.47
2.0,19466.91
2.0,56655.39
2.0,32153.04
2.0,11501.46
2.0,62424.14
2.0,13740.12
2.0,11875.84
2.0,30052.75
2.0,13623.98
2.0,19484.03
2.0,41969.29
2.0,66780.63
2.0,11609.5
2.0,30721.5
2.0,98499.12
2.0,139884.94
2.0,24213.18
2.0,10891.37
2.0,10887.84
2.0,36080.86
2.0,18826.47
,36476.4
,13403.66
,22812.41
,39254.57
,35351.21
,18310.31
2.0,18129.02
2.0,18892.81
2.0,21760.75
2.0,16309.73
2.0,14700.59
2.0,29620.81
2.0,16562.49
2.0,16139.05
2.0,16720.84
2.0,20949.36
2.0,70202.02
2.0,37334.83
2.0,30694.25
2.0,13268.75
2.0,62329.48
2.0,60828.25
2.0,10050.92
2.0,33874.47
2.0,94136.35
2.0,11857.96
2.0,31494.77
2.0,12852.83
2.0,14807.95
2.0,66937.0
2.0,111390.36
2.0,44682.74
2.0,79455.64
2.0,46039.49
2.0,11873.89
2.0,19006.5
2.0,17614.47
2.0,143081.42
2.0,79636.32
2.0,11523.47
2.0,62581.64
2.0,38717.6
2.0,19985.2
2.0,31585.78
2.0,37857.68
2.0,34141.62
2.0,15918.98
2.0,12087.95
2.0,10271.25
2.0,33593.8
2.0,13485.61
2.0,98672.59
2.0,13917.2
2.0,26468.27
2.0,28784.91
2.0,36826.95
2.0,20275.45
2.0,17491.36
2.0,15880.85
2.0,17404.53
2.0,13855.54
2.0,47928.89
2.0,17623.72
2.0,72212.32
2.0,68569.53
2.0,16736.17
2.0,41595.55
2.0,18706.21
2.0,20195.2
2.0,22414.94
2.0,29634.13
2.0,13006.5
2.0,10547.6
2.0,72377.79
2.0,21381.85
2.0,63011.44
2.0,12290.16
2.0,76091.36
2.0,107952.07
2.0,135066.75
2.0,16411.69
2.0,33309.85
2.0,16245.13
2.0,10871.74
2.0,35318.2
2.0,10667.06
2.0,11135.17
2.0,57630.02
2.0,16708.1
2.0,12005.0
2.0,37467.32
2.0,24101.89
2.0,92755.59
2.0,13330.89
2.0,44292.87
2.0,34660.16
2.0,10218.67
2.0,17224.22
2.0,64328.29
2.0,28457.31
2.0,17798.37
2.0,19023.33
2.0,12881.02
2.0,32299.49
2.0,17306.61
2.0,27921.96
2.0,55501.07
2.0,15673.94
2.0,15175.52
2.0,57335.17
2.0,19403.54
2.0,16118.26
2.0,103652.58
2.0,18099.75
2.0,28213.79
2.0,55590.73
2.0,71718.48
2.0,125048.08
3.0,38776.09
3.0,42931.77
3.0,10903.65
3.0,12275.58
3.0,10345.5
3.0,23082.14
3.0,19974.91
3.0,19659.7
3.0,63550.08
3.0,17129.81
3.0,16445.28
3.0,21827.9
3.0,19082.9
3.0,108282.86
3.0,48397.98
3.0,33299.27
3.0,15680.71
3.0,31576.47
3.0,62755.71
3.0,18993.69
3.0,29957.47
3.0,112807.75
3.0,12571.5
3.0,38086.19
3.0,78081.85
3.0,12657.65
3.0,65525.74
3.0,18268.78
3.0,40423.95
3.0,67000.83
3.0,13824.33
3.0,24064.7
3.0,20565.45
3.0,10239.06
3.0,30800.98
3.0,16120.04
3.0,132945.44
3.0,59201.37
3.0,10123.45
3.0,10705.75
3.0,31197.12
3.0,32668.67
3.0,29272.13
3.0,43751.94
3.0,14708.62
3.0,21529.14
3.0,31669.24
3.0,21043.39
3.0,98175.35
3.0,21498.92
3.0,45046.81
3.0,23766.82
3.0,10819.46
3.0,112048.41
3.0,13267.5
3.0,18201.88
3.0,63668.62
3.0,14410.07
3.0,18114.67
3.0,12793.17
3.0,61326.35
3.0,15331.75
3.0,10372.48
3.0,17864.32
3.0,63593.12
3.0,17426.63
3.0,25605.58
3.0,28208.0
3.0,34342.64
3.0,35833.07
3.0,124418.65
3.0,18911.79
3.0,59799.42
3.0,12253.4
3.0,12386.15
3.0,11709.0
3.0,73943.62
3.0,43615.49
3.0,41742.21
3.0,30287.91
3.0,11836.32
3.0,32604.49
3.0,31733.15
3.0,15871.19
3.0,11201.0
3.0,22136.64
3.0,12738.78
3.0,41069.55
3.0,22711.59
3.0,71165.72
3.0,14590.87
3.0,36807.21
3.0,20132.03
3.0,117716.13
3.0,34118.11
3.0,11323.78
3.0,127434.37
3.0,11097.8
3.0,18348.98
3.0,62781.44
3.0,11792.55
3.0,12213.5
3.0,33367.99
3.0,64718.53
3.0,19738.42
3.0,57384.35
3.0,18317.46
3.0,13394.0
3.0,63250.87
3.0,12917.55
3.0,33731.81
3.0,76760.92
3.0,28002.01
3.0,34188.52
3.0,22632.57
3.0,29223.39
3.0,33872.07
3.0,11836.92
3.0,10366.85
3.0,30294.48
3.0,55614.69
3.0,26679.52
